freq,psd_x,psd_y,psd_z,psd_xyz
48.1,169279.2,16927.9,8464.0,186207.1
48.2,166762.5,16676.2,8338.1,183438.7
48.3,164303.3,16430.3,8215.2,180733.6
48.4,161900.3,16190.0,8095.0,178090.3
48.5,159551.9,15955.2,7977.6,175507.1
48.6,157257.0,15725.7,7862.9,172982.7
48.7,155014.1,15501.4,7750.7,170515.6
48.8,152822.1,15282.2,7641.1,168104.3
48.9,150679.6,15068.0,7534.0,165747.6
49.0,148585.5,14858.6,7429.3,163444.1
49.1,146538.6,14653.9,7326.9,161192.5
49.2,144537.8,14453.8,7226.9,158991.6
49.3,142581.9,14258.2,7129.1,156840.1
49.4,140670.0,14067.0,7033.5,154737.0
49.5,138801.0,13880.1,6940.1,152681.1
49.6,136973.9,13697.4,6848.7,150671.3
49.7,135187.7,13518.8,6759.4,148706.4
49.8,133441.4,13344.1,6672.1,146785.6
49.9,131734.3,13173.4,6586.7,144907.7
50.0,130065.3,13006.5,6503.3,143071.9
50.1,128433.7,12843.4,6421.7,141277.1
50.2,126838.5,12683.9,6341.9,139522.4
50.3,125279.1,12527.9,6264.0,137807.0
50.4,123754.6,12375.5,6187.7,136130.0
50.5,122264.2,12226.4,6113.2,134490.7
50.6,120807.3,12080.7,6040.4,132888.1
50.7,119383.1,11938.3,5969.2,131321.4
50.8,117991.0,11799.1,5899.5,129790.1
50.9,116630.3,11663.0,5831.5,128293.3
51.0,115300.3,11530.0,5765.0,126830.3
51.1,114000.4,11400.0,5700.0,125400.4
51.2,112730.1,11273.0,5636.5,124003.1
51.3,111488.7,11148.9,5574.4,122637.6
51.4,110275.7,11027.6,5513.8,121303.3
51.5,109090.6,10909.1,5454.5,119999.7
51.6,107932.9,10793.3,5396.6,118726.1
51.7,106802.0,10680.2,5340.1,117482.2
51.8,105697.4,10569.7,5284.9,116267.2
51.9,104618.8,10461.9,5230.9,115080.7
52.0,103565.6,10356.6,5178.3,113922.2
52.1,102537.5,10253.8,5126.9,112791.3
52.2,101534.0,10153.4,5076.7,111687.4
52.3,100554.7,10055.5,5027.7,110610.2
52.4,99599.3,9959.9,4980.0,109559.2
52.5,98667.4,9866.7,4933.4,108534.1
52.6,97758.6,9775.9,4887.9,107534.4
52.7,96872.6,9687.3,4843.6,106559.8
52.8,96009.1,9600.9,4800.5,105610.0
52.9,95167.8,9516.8,4758.4,104684.6
53.0,94348.5,9434.8,4717.4,103783.3
53.1,93550.8,9355.1,4677.5,102905.9
53.2,92774.5,9277.4,4638.7,102051.9
53.3,92019.3,9201.9,4601.0,101221.3
53.4,91285.1,9128.5,4564.3,100413.6
53.5,90571.6,9057.2,4528.6,99628.8
53.6,89878.7,8987.9,4493.9,98866.5
53.7,89206.0,8920.6,4460.3,98126.7
53.8,88553.6,8855.4,4427.7,97409.0
53.9,87921.2,8792.1,4396.1,96713.4
54.0,87308.8,8730.9,4365.4,96039.6
54.1,86716.1,8671.6,4335.8,95387.7
54.2,86143.0,8614.3,4307.2,94757.3
54.3,85589.6,8559.0,4279.5,94148.5
54.4,85055.6,8505.6,4252.8,93561.2
54.5,84541.2,8454.1,4227.1,92995.3
54.6,84046.1,8404.6,4202.3,92450.7
54.7,83570.4,8357.0,4178.5,91927.4
54.8,83114.0,8311.4,4155.7,91425.4
54.9,82677.0,8267.7,4133.9,90944.7
55.0,82259.5,8225.9,4113.0,90485.4
55.1,81861.3,8186.1,4093.1,90047.4
55.2,81482.6,8148.3,4074.1,89630.9
55.3,81123.5,8112.3,4056.2,89235.8
55.4,80784.0,8078.4,4039.2,88862.4
55.5,80464.2,8046.4,4023.2,88510.6
55.6,80164.3,8016.4,4008.2,88180.8
55.7,79884.5,7988.4,3994.2,87872.9
55.8,79624.8,7962.5,3981.2,87587.3
55.9,79385.6,7938.6,3969.3,87324.1
56.0,79166.9,7916.7,3958.3,87083.6
56.1,78969.1,7896.9,3948.5,86866.0
56.2,78792.3,7879.2,3939.6,86671.5
56.3,78636.9,7863.7,3931.8,86500.6
56.4,78503.1,7850.3,3925.2,86353.4
56.5,78391.4,7839.1,3919.6,86230.5
56.6,78302.0,7830.2,3915.1,86132.2
56.7,78235.3,7823.5,3911.8,86058.9
56.8,78191.8,7819.2,3909.6,86011.0
56.9,78171.9,7817.2,3908.6,85989.1
57.0,78176.1,7817.6,3908.8,85993.7
57.1,78204.8,7820.5,3910.2,86025.3
57.2,78258.7,7825.9,3912.9,86084.5
57.3,78338.2,7833.8,3916.9,86172.0
57.4,78444.1,7844.4,3922.2,86288.5
57.5,78576.9,7857.7,3928.8,86434.6
57.6,78737.4,7873.7,3936.9,86611.2
57.7,78926.3,7892.6,3946.3,86819.0
57.8,79144.4,7914.4,3957.2,87058.9
